"global_concept_number","industry_order","industry_name","internal_concept_type","concept_number_in_section","user_facing_video_style","concept_title","concept_raw_text","source_file","source_batch","is_active"
"407","5","שירותים מקומיים ובעלי מקצוע","עדות יום אמיתי","7","ugc","מה נשאר איתי עד הערב","UGC type: עדות יום אמיתי | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של כשצריך מישהו אמין, עם דגש על הלקוח מבין מה קרה. | Video structure: פתיחה סלפי/POV בסיטואציה של כשצריך מישהו אמין, בלי להרגיש כמו פרסומת | שוט ראשון: הודעת וואטסאפ עם זמינות, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: לקוח סוגר דלת רגוע, שמוכיח/מדגים ש-הלקוח מבין מה קרה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך כשצריך מישהו אמין, ומראה דרך צילום פשוט ש-הלקוח מבין מה קרה. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-מגיעים בזמן, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"408","5","שירותים מקומיים ובעלי מקצוע","עדות יום אמיתי","8","ugc","הדבר שלא הפריע לי כל היום","UGC type: עדות יום אמיתי | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של אחרי ניסיון רע, עם דגש על הבעיה נפתרת מהר. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי ניסיון רע, בלי להרגיש כמו פרסומת | שוט ראשון: שטח עבודה נקי, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: כלי עבודה מסודרים, שמוכיח/מדגים ש-הבעיה נפתרת מהר | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי ניסיון רע, ומראה דרך צילום פשוט ש-הבעיה נפתרת מהר. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-מסבירים בלי להפחיד, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"409","5","שירותים מקומיים ובעלי מקצוע","עדות יום אמיתי","9","ugc","יצא איתי מהבית וחזר איתי הביתה","UGC type: עדות יום אמיתי | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בסוף שיפוץ, עם דגש על השירות מרגיש אנושי. | Video structure: פתיחה סלפי/POV בסיטואציה של בסוף שיפוץ, בלי להרגיש כמו פרסומת | שוט ראשון: בדיקה אחרונה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: הגעה לבית, שמוכיח/מדגים ש-השירות מרגיש אנושי | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בסוף שיפוץ, ומראה דרך צילום פשוט ש-השירות מרגיש אנושי. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-המחיר ברור, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"410","5","שירותים מקומיים ובעלי מקצוע","עדות יום אמיתי","10","ugc","הבדיקה הכי לא רשמית","UGC type: עדות יום אמיתי | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של לפני החורף, עם דגש על אפשר לסמוך עליהם שוב. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני החורף, בלי להרגיש כמו פרסומת | שוט ראשון: לקוח סוגר דלת רגוע, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: לפני ואחרי תיקון, שמוכיח/מדגים ש-אפשר לסמוך עליהם שוב | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני החורף, ומראה דרך צילום פשוט ש-אפשר לסמוך עליהם שוב. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-העבודה נקייה, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"411","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","11","ugc","הייתי שולח/ת את זה לחבר/ה","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של ברגע שמשהו מתקלקל, עם דגש על מגיעים בזמן. | Video structure: פתיחה סלפי/POV בסיטואציה של ברגע שמשהו מתקלקל, בלי להרגיש כמו פרסומת | שוט ראשון: כלי עבודה מסודרים, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: שיחה קצרה עם הלקוח, שמוכיח/מדגים ש-מגיעים בזמן | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך ברגע שמשהו מתקלקל, ומראה דרך צילום פשוט ש-מגיעים בזמן. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-לא מנסים למכור מה שלא צריך, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"412","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","12","ugc","המלצה בלי נאום מכירה","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של לפני מעבר דירה, עם דגש על מסבירים בלי להפחיד. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני מעבר דירה, בלי להרגיש כמו פרסומת | שוט ראשון: הגעה לבית, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: תקלה קטנה מקרוב, שמוכיח/מדגים ש-מסבירים בלי להפחיד | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני מעבר דירה, ומראה דרך צילום פשוט ש-מסבירים בלי להפחיד. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-יש אחריות, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"413","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","13","ugc","הדבר שהייתי מספר/ת בוואטסאפ","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של אחרי תקלה קטנה, עם דגש על המחיר ברור. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי תקלה קטנה, בלי להרגיש כמו פרסומת | שוט ראשון: לפני ואחרי תיקון, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: איש מקצוע מסביר בפשטות, שמוכיח/מדגים ש-המחיר ברור | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי תקלה קטנה, ומראה דרך צילום פשוט ש-המחיר ברור. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-הלקוח מבין מה קרה, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"414","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","14","ugc","שיחת חברה קטנה","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של ביום עמוס, עם דגש על העבודה נקייה. | Video structure: פתיחה סלפי/POV בסיטואציה של ביום עמוס, בלי להרגיש כמו פרסומת | שוט ראשון: שיחה קצרה עם הלקוח, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: הודעת וואטסאפ עם זמינות, שמוכיח/מדגים ש-העבודה נקייה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך ביום עמוס, ומראה דרך צילום פשוט ש-העבודה נקייה. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-הבעיה נפתרת מהר, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"415","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","15","ugc","אם מישהו היה שואל אותי","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של לפני אירוח, עם דגש על לא מנסים למכור מה שלא צריך. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני אירוח, בלי להרגיש כמו פרסומת | שוט ראשון: תקלה קטנה מקרוב, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: שטח עבודה נקי, שמוכיח/מדגים ש-לא מנסים למכור מה שלא צריך | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני אירוח, ומראה דרך צילום פשוט ש-לא מנסים למכור מה שלא צריך. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-השירות מרגיש אנושי, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"416","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","16","ugc","המלצה של רגע לפני יציאה","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של בבוקר עם בעיה דחופה, עם דגש על יש אחריות. | Video structure: פתיחה סלפי/POV בסיטואציה של בבוקר עם בעיה דחופה, בלי להרגיש כמו פרסומת | שוט ראשון: איש מקצוע מסביר בפשטות, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: בדיקה אחרונה, שמוכיח/מדגים ש-יש אחריות | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בבוקר עם בעיה דחופה, ומראה דרך צילום פשוט ש-יש אחריות. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-אפשר לסמוך עליהם שוב, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"417","5","שירותים מקומיים ובעלי מקצוע","המלצה לחבר/ה","17","ugc","לא פרסומת, פשוט משהו שעבד","UGC type: המלצה לחבר/ה | Use when: מתאים ל-חשמלאי, אינסטלטור, מוסך, מנעולן, ניקיון, הדברה, טכנאי, מספרה שכונתית, חנות שירות או בעל מקצוע מקומי כשרוצים לקדם שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא שירות חדש, זמינות מהירה, בדיקה, תיקון, חבילת תחזוקה, שירות לבית או מבצע מקומי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: אם חבר/ה היה/הייתה שואל/ת אותי על [specific_product], זה בדיוק מה שהייתי אומר/ת. | Core idea: הסרטון בנוי כמו המלצה אישית, ישירה ולא מלוטשת מדי, עם הסבר קצר למה [specific_product] שווה בדיקה. בתוך סיטואציה של כשצריך מישהו אמין, עם דגש על הלקוח מבין מה קרה. | Video structure: פתיחה סלפי/POV בסיטואציה של כשצריך מישהו אמין, בלי להרגיש כמו פרסומת | שוט ראשון: הודעת וואטסאפ עם זמינות, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: לקוח סוגר דלת רגוע, שמוכיח/מדגים ש-הלקוח מבין מה קרה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך כשצריך מישהו אמין, ומראה דרך צילום פשוט ש-הלקוח מבין מה קרה. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות מקומיים שרוצים שירות אמין בלי דרמה ובלי הפתעות ונותן תחושה ש-מגיעים בזמן, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: אמון חברתי, שיחה טבעית, הורדת התנגדות | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
